mstat,rev_total_mois,log_revenu,sans_revenu,age_grp,bancarise,a_assurance,logem,Stg_formel
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Célibataire,0.0,0.0,1,0-17,0,1,Autre,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,30000.0,10.308986,0,25-34,1,0,Locataire,0
Célibataire,150000.0,11.918397,0,25-34,1,0,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,1,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,1,0,Locataire,0
Marié(e),180000.0,12.100718,0,45-54,1,1,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Marié(e),125000.0,11.736077,0,45-54,1,0,Locataire,1
Marié(e),130000.0,11.775297,0,45-54,1,0,Autre,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Union libre,0.0,0.0,1,25-34,1,0,Locataire,0
Veuf(ve),0.0,0.0,1,65+,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Union libre,354000.0,12.777055,0,35-44,1,1,Locataire,1
Célibataire,140000.0,11.849405,0,25-34,1,0,Locataire,1
Union libre,604166.69,13.311607,0,25-34,1,1,Locataire,1
Union libre,693207.75,13.449086,0,25-34,1,1,Locataire,1
Célibataire,60000.0,11.002116,0,18-24,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,0,1,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,0,1,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,0,1,Proprietaire titre,0
Marié(e),650000.0,13.384729,0,55-64,1,1,Proprietaire titre,1
Célibataire,0.0,0.0,1,18-24,0,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,55-64,1,1,Proprietaire titre,0
Célibataire,66000.0,11.097425,0,0-17,0,0,Locataire,0
Marié(e),310000.0,12.644331,0,25-34,1,1,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),370000.0,12.821261,0,25-34,1,1,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Célibataire,0.0,0.0,1,45-54,1,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,1,1,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Marié(e),300000.0,12.611541,0,25-34,1,1,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Union libre,25000.0,10.126671,0,18-24,1,0,Locataire,0
Union libre,78000.0,11.264477,0,25-34,1,0,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,95333.336,11.465145,0,25-34,1,0,Proprietaire titre,1
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,1,0,Proprietaire titre,0
Célibataire,90000.0,11.407576,0,25-34,1,0,Proprietaire titre,1
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,45-54,0,0,Proprietaire titre,0
Marié(e),150000.0,11.918397,0,35-44,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Union libre,0.0,0.0,1,35-44,0,0,Locataire,0
Union libre,162636.0,11.999276,0,35-44,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),45000.0,10.71444,0,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Marié(e),133333.33,11.800615,0,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),115000.0,11.652696,0,45-54,1,0,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,1,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Célibataire,160000.0,11.982935,0,45-54,1,1,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Marié(e),75000.0,11.225257,0,55-64,1,1,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,1,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,1,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,1,Proprietaire titre,0
Marié(e),134500.0,11.809327,0,45-54,1,1,Proprietaire titre,1
Marié(e),0.0,0.0,1,35-44,1,1,Proprietaire titre,0
Marié(e),125000.0,11.736077,0,35-44,0,0,Locataire,1
Marié(e),0.0,0.0,1,35-44,0,0,Locataire,0
Célibataire,80166.664,11.291876,0,18-24,0,0,Locataire,0
Célibataire,413148.0,12.931563,0,25-34,1,0,Locataire,1
Divorcé(e),0.0,0.0,1,45-54,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire sans titre,0
Union libre,0.0,0.0,1,18-24,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Veuf(ve),0.0,0.0,1,55-64,1,0,Proprietaire sans titre,0
Célibataire,50000.0,10.819798,0,25-34,1,0,Proprietaire sans titre,1
Union libre,0.0,0.0,1,25-34,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Union libre,0.0,0.0,1,35-44,1,0,Locataire,0
Union libre,176833.0,12.082967,0,35-44,1,0,Locataire,1
Marié(e),225000.0,12.32386,0,45-54,1,1,Locataire,0
Marié(e),0.0,0.0,1,45-54,1,1,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,1,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,1,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,1,1,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,35-44,1,0,Locataire,0
Union libre,150000.0,11.918397,0,45-54,1,1,Locataire,1
Célibataire,0.0,0.0,1,0-17,1,0,Locataire,0
Union libre,0.0,0.0,1,55-64,1,1,Locataire,0
Célibataire,0.0,0.0,1,18-24,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,25-34,1,0,Proprietaire titre,0
Veuf(ve),0.0,0.0,1,45-54,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Marié(e),80000.0,11.289794,0,45-54,0,0,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,0,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,45-54,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Veuf(ve),0.0,0.0,1,65+,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Séparé,0.0,0.0,1,45-54,0,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,18-24,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,1,0,Locataire,0
Marié(e),215000.0,12.278398,0,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Autre,0
Veuf(ve),0.0,0.0,1,65+,0,0,Autre,0
Célibataire,0.0,0.0,1,18-24,0,0,Autre,1
Célibataire,63030.375,11.051388,0,25-34,0,0,Autre,1
Célibataire,40000.0,10.59666,0,18-24,0,0,Autre,0
Célibataire,0.0,0.0,1,0-17,0,0,Autre,0
Marié(e),0.0,0.0,1,55-64,1,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,1,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,50000.0,10.819798,0,18-24,1,0,Proprietaire sans titre,0
Marié(e),0.0,0.0,1,45-54,1,0,Proprietaire sans titre,0
Veuf(ve),0.0,0.0,1,35-44,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,55-64,1,0,Locataire,0
Marié(e),0.0,0.0,1,18-24,0,0,Locataire,0
Marié(e),0.0,0.0,1,55-64,1,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,35-44,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,25-34,1,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,65+,0,0,Proprietaire titre,0
Célibataire,35000.0,10.463132,0,18-24,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,48000.0,10.778977,0,18-24,1,0,Proprietaire titre,1
Célibataire,21000.0,9.9523249,0,25-34,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,150000.0,11.918397,0,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,1,0,Locataire,0
Veuf(ve),0.0,0.0,1,45-54,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Autre,0
Marié(e),0.0,0.0,1,35-44,0,0,Autre,0
Marié(e),0.0,0.0,1,55-64,0,0,Autre,0
Marié(e),346666.66,12.756122,0,25-34,1,1,Autre,1
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,45-54,0,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,55-64,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire titre,0
Marié(e),333333.34,12.716901,0,55-64,1,0,Proprietaire titre,1
Célibataire,0.0,0.0,1,25-34,1,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,45-54,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,35-44,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,45-54,1,0,Proprietaire titre,0
Union libre,0.0,0.0,1,55-64,1,0,Proprietaire titre,0
Union libre,0.0,0.0,1,65+,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,1,0,Locataire,0
Marié(e),0.0,0.0,1,55-64,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,0,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,65+,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),93716.813,11.448044,0,45-54,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Autre,0
Célibataire,0.0,0.0,1,35-44,1,0,Autre,0
Célibataire,0.0,0.0,1,25-34,1,0,Autre,0
Célibataire,0.0,0.0,1,25-34,1,0,Autre,0
Célibataire,0.0,0.0,1,18-24,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Marié(e),130000.0,11.775297,0,35-44,1,0,Locataire,1
Célibataire,50000.0,10.819798,0,55-64,1,0,Locataire,0
Marié(e),50000.0,10.819798,0,25-34,1,0,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Séparé,103171.5,11.544158,0,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,35-44,1,0,Locataire,0
Marié(e),216666.67,12.28612,0,35-44,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Veuf(ve),0.0,0.0,1,55-64,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,25-34,0,0,Locataire,0
Marié(e),130000.0,11.775297,0,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Marié(e),145000.0,11.884496,0,35-44,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,0,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,35-44,1,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,65+,0,0,Proprietaire sans titre,0
Célibataire,151666.67,11.929447,0,45-54,0,0,Proprietaire sans titre,1
Célibataire,2500.0,7.8244457,0,35-44,1,1,Proprietaire sans titre,1
Célibataire,0.0,0.0,1,18-24,0,0,Proprietaire sans titre,0
Marié(e),0.0,0.0,1,55-64,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,55-64,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,35-44,0,0,Proprietaire sans titre,0
Marié(e),0.0,0.0,1,55-64,1,0,Proprietaire sans titre,0
Marié(e),0.0,0.0,1,45-54,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,55-64,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,18-24,0,0,Proprietaire sans titre,0
Marié(e),0.0,0.0,1,45-54,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,18-24,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire sans titre,0
Marié(e),0.0,0.0,1,35-44,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Marié(e),0.0,0.0,1,45-54,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Marié(e),0.0,0.0,1,45-54,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Marié(e),0.0,0.0,1,25-34,1,0,Proprietaire sans titre,0
Marié(e),0.0,0.0,1,25-34,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Marié(e),0.0,0.0,1,35-44,1,0,Proprietaire sans titre,0
Marié(e),0.0,0.0,1,45-54,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Marié(e),0.0,0.0,1,25-34,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,45-54,1,0,Proprietaire titre,0
Séparé,0.0,0.0,1,35-44,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Veuf(ve),0.0,0.0,1,65+,0,0,Proprietaire sans titre,0
Célibataire,70000.0,11.156265,0,35-44,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,6666.6665,8.8050251,0,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,35-44,1,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,35-44,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,35-44,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire titre,0
Veuf(ve),0.0,0.0,1,45-54,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,25-34,1,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,45-54,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,1000000.0,13.815512,0,25-34,1,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,45-54,1,0,Proprietaire titre,0
Célibataire,466666.66,13.053372,0,25-34,1,0,Proprietaire titre,1
Marié(e),0.0,0.0,1,55-64,1,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,45-54,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,55-64,1,0,Locataire,0
Marié(e),0.0,0.0,1,45-54,1,1,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire titre,0
Marié(e),210000.0,12.254868,0,65+,1,1,Proprietaire titre,1
Marié(e),0.0,0.0,1,55-64,1,0,Locataire,0
Célibataire,0.0,0.0,1,35-44,0,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Marié(e),500000.0,13.122365,0,65+,1,1,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,2266666.3,14.633821,0,55-64,1,1,Locataire,1
Célibataire,0.0,0.0,1,0-17,1,1,Locataire,0
Marié(e),100000.0,11.512936,0,35-44,1,1,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,1,Locataire,0
Marié(e),400000.0,12.899222,0,35-44,1,1,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),120000.0,11.695255,0,35-44,1,0,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),100000.0,11.512936,0,55-64,1,0,Locataire,0
Célibataire,410000.0,12.923915,0,18-24,1,1,Locataire,1
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,55-64,1,1,Proprietaire titre,0
Célibataire,95000.0,11.461642,0,18-24,1,0,Proprietaire titre,0
Marié(e),0.0,0.0,1,65+,1,1,Proprietaire titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,18-24,1,0,Proprietaire titre,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Marié(e),1000000.0,13.815512,0,55-64,1,0,Locataire,1
Célibataire,0.0,0.0,1,18-24,1,1,Locataire,0
Célibataire,0.0,0.0,1,25-34,1,0,Locataire,0
Marié(e),0.0,0.0,1,55-64,1,1,Locataire,0
Veuf(ve),0.0,0.0,1,55-64,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,24000.0,10.085851,0,35-44,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,18-24,0,0,Locataire,1
Union libre,0.0,0.0,1,25-34,1,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Union libre,130000.0,11.775297,0,25-34,1,0,Locataire,0
Marié(e),182000.0,12.111768,0,35-44,1,0,Locataire,1
Marié(e),0.0,0.0,1,35-44,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Célibataire,0.0,0.0,1,0-17,0,0,Locataire,0
Marié(e),0.0,0.0,1,65+,0,0,Proprietaire sans titre,0
Marié(e),0.0,0.0,1,65+,0,0,Proprietaire sans titre,0
Célibataire,0.0,0.0,1,0-17,0,0,Proprietaire sans titre,0
Divorcé(e),0.0,0.0,1,55-64,0,0,Proprietaire sans titre,0
